y	x	PANEL
7	1	1
7	1.025	1
7	1.05	1
7	1.075	1
7	1.1	1
7	1.125	1
7	1.15	1
6	1.175	1
6	1.2	1
6	1.225	1
6	1.25	1
5	1.275	1
5	1.3	1
5	1.325	1
5	1.35	1
5	1.375	1
5	1.4	1
5	1.425	1
5	1.45	1
5	1.475	1
5	1.5	1
5	1.525	1
4	1.55	1
2	1.575	1
1	1.6	1
1	1.625	1
1	1.65	1
1	1.675	1
1	1.7	1
1	1.725	1
1	1.75	1
1	1.775	1
1	1.8	1
0	1.825	1
0	1.85	1
0	1.875	1
0	1.9	1
0	1.925	1
0	1.95	1
0	1.975	1
0	2	1
10.8661852798245	1	2
10.6291150535083	1.025	2
10.3779975331542	1.05	2
10.1120003642619	1.075	2
9.83024187222603	1.1	2
9.53178813993673	1.125	2
9.21564991221623	1.15	2
8.90566339481934	1.175	2
8.58261387505187	1.2	2
8.24042246782143	1.225	2
7.87795494498894	1.25	2
7.53456790999542	1.275	2
7.18367927303178	1.3	2
6.81199917720566	1.325	2
6.41829565112759	1.35	2
6.00126372451397	1.375	2
5.55952110273062	1.4	2
5.09160358503703	1.425	2
4.59596021134439	1.45	2
4.07094812140101	1.475	2
3.51482710936538	1.5	2
2.92575385571727	1.525	2
2.30350479996404	1.55	2
1.96001026789803	1.575	2
1.78867260486842	1.6	2
1.61175260830529	1.625	2
1.42434944288743	1.65	2
1.22584194180855	1.675	2
1.01557213181511	1.7	2
0.792843052287241	1.725	2
0.556916445092035	1.75	2
0.307010307552076	1.775	2
0.0422963004182044	1.8	2
0	1.825	2
0	1.85	2
0	1.875	2
0	1.9	2
0	1.925	2
0	1.95	2
0	1.975	2
0	2	2
