x	y	label	showSelected1	group
0	4	penalty=10.00	1	-1
0	4	penalty=10.59	1.025	-1
0	4	penalty=11.22	1.05	-1
0	4	penalty=11.89	1.075	-1
0	4	penalty=12.59	1.1	-1
0	4	penalty=13.34	1.125	-1
0	4	penalty=14.13	1.15	-1
0	4	penalty=14.96	1.175	-1
0	4	penalty=15.85	1.2	-1
0	4	penalty=16.79	1.225	-1
0	4	penalty=17.78	1.25	-1
0	4	penalty=18.84	1.275	-1
0	4	penalty=19.95	1.3	-1
0	4	penalty=21.13	1.325	-1
0	4	penalty=22.39	1.35	-1
0	4	penalty=23.71	1.375	-1
0	4	penalty=25.12	1.4	-1
0	4	penalty=26.61	1.425	-1
0	4	penalty=28.18	1.45	-1
0	4	penalty=29.85	1.475	-1
0	4	penalty=31.62	1.5	-1
0	4	penalty=33.50	1.525	-1
0	4	penalty=35.48	1.55	-1
0	4	penalty=37.58	1.575	-1
0	4	penalty=39.81	1.6	-1
0	4	penalty=42.17	1.625	-1
0	4	penalty=44.67	1.65	-1
0	4	penalty=47.32	1.675	-1
0	4	penalty=50.12	1.7	-1
0	4	penalty=53.09	1.725	-1
0	4	penalty=56.23	1.75	-1
0	4	penalty=59.57	1.775	-1
0	4	penalty=63.10	1.8	-1
0	4	penalty=66.83	1.825	-1
0	4	penalty=70.79	1.85	-1
0	4	penalty=74.99	1.875	-1
0	4	penalty=79.43	1.9	-1
0	4	penalty=84.14	1.925	-1
0	4	penalty=89.13	1.95	-1
0	4	penalty=94.41	1.975	-1
0	4	penalty=100.00	2	-1
