x	xend	y	yend	key	showSelected1
0.5	18.5	10.0257851178354	10.0257851178354	1 0.5	1
18.5	20.5	11.4241252322636	11.4241252322636	1 18.5	1
20.5	24.5	13.3045062624852	13.3045062624852	1 20.5	1
24.5	26.5	13.7744722301274	13.7744722301274	1 24.5	1
26.5	40.5	14.3838439983143	14.3838439983143	1 26.5	1
40.5	41.5	9.5730137440189	9.5730137440189	1 40.5	1
41.5	43.5	9.3884217145998	9.3884217145998	1 41.5	1
43.5	60.5	7.8757175989687	7.8757175989687	1 43.5	1
0.5	18.5	10.058703854045	10.058703854045	1.025 0.5	1.025
18.5	20.5	11.4241252322636	11.4241252322636	1.025 18.5	1.025
20.5	24.5	13.3045062624852	13.3045062624852	1.025 20.5	1.025
24.5	26.5	13.7744722301274	13.7744722301274	1.025 24.5	1.025
26.5	40.5	14.2991958194896	14.2991958194896	1.025 26.5	1.025
40.5	41.5	9.5730137440189	9.5730137440189	1.025 40.5	1.025
41.5	43.5	9.3884217145998	9.3884217145998	1.025 41.5	1.025
43.5	60.5	7.91057273142593	7.91057273142593	1.025 43.5	1.025
0.5	18.5	10.0935731480031	10.0935731480031	1.05 0.5	1.05
18.5	20.5	11.4241252322636	11.4241252322636	1.05 18.5	1.05
20.5	24.5	13.3045062624852	13.3045062624852	1.05 20.5	1.05
24.5	26.5	13.7744722301274	13.7744722301274	1.05 24.5	1.05
26.5	40.5	14.2095319207401	14.2095319207401	1.05 26.5	1.05
40.5	41.5	9.5730137440189	9.5730137440189	1.05 40.5	1.05
41.5	43.5	9.3884217145998	9.3884217145998	1.05 41.5	1.05
43.5	60.5	7.9474931603228	7.9474931603228	1.05 43.5	1.05
0.5	18.5	10.1305085775226	10.1305085775226	1.075 0.5	1.075
18.5	20.5	11.4241252322636	11.4241252322636	1.075 18.5	1.075
20.5	24.5	13.3045062624852	13.3045062624852	1.075 20.5	1.075
24.5	26.5	13.7744722301274	13.7744722301274	1.075 24.5	1.075
26.5	40.5	14.1145551019757	14.1145551019757	1.075 26.5	1.075
40.5	41.5	9.5730137440189	9.5730137440189	1.075 40.5	1.075
41.5	43.5	9.3884217145998	9.3884217145998	1.075 41.5	1.075
43.5	60.5	7.98660126216695	7.98660126216695	1.075 43.5	1.075
0.5	18.5	10.1696325688321	10.1696325688321	1.1 0.5	1.1
