y	x	label	PANEL	group
7.3	1	7	1	-1
7.3	1.025	7	1	-1
7.3	1.05	7	1	-1
7.3	1.075	7	1	-1
7.3	1.1	7	1	-1
7.3	1.125	7	1	-1
7.3	1.15	7	1	-1
6.3	1.175	6	1	-1
6.3	1.2	6	1	-1
6.3	1.225	6	1	-1
6.3	1.25	6	1	-1
5.3	1.275	5	1	-1
5.3	1.3	5	1	-1
5.3	1.325	5	1	-1
5.3	1.35	5	1	-1
5.3	1.375	5	1	-1
5.3	1.4	5	1	-1
5.3	1.425	5	1	-1
5.3	1.45	5	1	-1
5.3	1.475	5	1	-1
5.3	1.5	5	1	-1
5.3	1.525	5	1	-1
4.3	1.55	4	1	-1
2.3	1.575	2	1	-1
1.3	1.6	1	1	-1
1.3	1.625	1	1	-1
1.3	1.65	1	1	-1
1.3	1.675	1	1	-1
1.3	1.7	1	1	-1
1.3	1.725	1	1	-1
1.3	1.75	1	1	-1
1.3	1.775	1	1	-1
1.3	1.8	1	1	-1
0.3	1.825	0	1	-1
0.3	1.85	0	1	-1
0.3	1.875	0	1	-1
0.3	1.9	0	1	-1
0.3	1.925	0	1	-1
0.3	1.95	0	1	-1
0.3	1.975	0	1	-1
0.3	2	0	1	-1
